STATISTIC,Statistic,TLIST(A1),Year,C02480V03003,Probation Referral Offence,UNIT,VALUE
CJA19C04,Probation Re-Offender Rate,2012,2012,3,"Attempts/threats to murder, assaults, harassments and related offences",%,39.2
CJA19C04,Probation Re-Offender Rate,2012,2012,4,Dangerous or negligent acts,%,35.7
CJA19C04,Probation Re-Offender Rate,2012,2012,5,Kidnapping and related offences,%,100
CJA19C04,Probation Re-Offender Rate,2012,2012,6,"Robbery, extortion and hijacking offences",%,55.3
CJA19C04,Probation Re-Offender Rate,2012,2012,7,Burglary and related offences,%,55.7
CJA19C04,Probation Re-Offender Rate,2012,2012,8,Theft and related offences,%,57.9
CJA19C04,Probation Re-Offender Rate,2012,2012,9,"Fraud, deception and related offences",%,25.3
CJA19C04,Probation Re-Offender Rate,2012,2012,10,Controlled drug offences,%,35.1
CJA19C04,Probation Re-Offender Rate,2012,2012,11,Weapons and Explosives Offences,%,52.8
CJA19C04,Probation Re-Offender Rate,2012,2012,12,Damage to property and to the environment,%,59.6
CJA19C04,Probation Re-Offender Rate,2012,2012,13,Public order and other social code offences,%,56.4
CJA19C04,Probation Re-Offender Rate,2012,2012,14,Road and traffic offences (n.e.c.),%,28.6
CJA19C04,Probation Re-Offender Rate,2012,2012,15,"Offences against government, justice procedures and organisation of crime",%,52.1
CJA19C04,Probation Re-Offender Rate,2012,2012,16,Offences not elsewhere classified,%,36
CJA19C04,Probation Re-Offender Rate,2012,2012,1650,Offence not stated,%,
CJA19C04,Probation Re-Offender Rate,2013,2013,1,Homicide offences,%,23.1
CJA19C04,Probation Re-Offender Rate,2013,2013,2,Sexual offences,%,5.5
CJA19C04,Probation Re-Offender Rate,2013,2013,3,"Attempts/threats to murder, assaults, harassments and related offences",%,42.5
CJA19C04,Probation Re-Offender Rate,2013,2013,4,Dangerous or negligent acts,%,36.2
CJA19C04,Probation Re-Offender Rate,2013,2013,5,Kidnapping and related offences,%,37.5
CJA19C04,Probation Re-Offender Rate,2013,2013,6,"Robbery, extortion and hijacking offences",%,51.9
CJA19C04,Probation Re-Offender Rate,2013,2013,7,Burglary and related offences,%,54.9
CJA19C04,Probation Re-Offender Rate,2013,2013,8,Theft and related offences,%,54.7
CJA19C04,Probation Re-Offender Rate,2013,2013,9,"Fraud, deception and related offences",%,26.5
CJA19C04,Probation Re-Offender Rate,2013,2013,10,Controlled drug offences,%,35.9
CJA19C04,Probation Re-Offender Rate,2013,2013,11,Weapons and Explosives Offences,%,50.4
CJA19C04,Probation Re-Offender Rate,2013,2013,12,Damage to property and to the environment,%,50
CJA19C04,Probation Re-Offender Rate,2013,2013,13,Public order and other social code offences,%,51.6
CJA19C04,Probation Re-Offender Rate,2013,2013,14,Road and traffic offences (n.e.c.),%,31.1
CJA19C04,Probation Re-Offender Rate,2013,2013,15,"Offences against government, justice procedures and organisation of crime",%,52.4
CJA19C04,Probation Re-Offender Rate,2013,2013,16,Offences not elsewhere classified,%,34.7
CJA19C04,Probation Re-Offender Rate,2013,2013,1650,Offence not stated,%,
CJA19C04,Probation Re-Offender Rate,2014,2014,1,Homicide offences,%,14.3
CJA19C04,Probation Re-Offender Rate,2014,2014,2,Sexual offences,%,16.9
CJA19C04,Probation Re-Offender Rate,2014,2014,3,"Attempts/threats to murder, assaults, harassments and related offences",%,39.4
CJA19C04,Probation Re-Offender Rate,2014,2014,4,Dangerous or negligent acts,%,34.2
CJA19C04,Probation Re-Offender Rate,2014,2014,5,Kidnapping and related offences,%,42.9
CJA19C04,Probation Re-Offender Rate,2014,2014,6,"Robbery, extortion and hijacking offences",%,45.7
CJA19C04,Probation Re-Offender Rate,2014,2014,7,Burglary and related offences,%,61.5
CJA19C04,Probation Re-Offender Rate,2014,2014,8,Theft and related offences,%,57.7
CJA19C04,Probation Re-Offender Rate,2014,2014,9,"Fraud, deception and related offences",%,26.2
CJA19C04,Probation Re-Offender Rate,2014,2014,10,Controlled drug offences,%,35.8
CJA19C04,Probation Re-Offender Rate,2014,2014,11,Weapons and Explosives Offences,%,52.6
CJA19C04,Probation Re-Offender Rate,2014,2014,12,Damage to property and to the environment,%,53
CJA19C04,Probation Re-Offender Rate,2014,2014,13,Public order and other social code offences,%,54.3
CJA19C04,Probation Re-Offender Rate,2014,2014,14,Road and traffic offences (n.e.c.),%,35.3
CJA19C04,Probation Re-Offender Rate,2014,2014,15,"Offences against government, justice procedures and organisation of crime",%,52.7
CJA19C04,Probation Re-Offender Rate,2014,2014,16,Offences not elsewhere classified,%,29.3
CJA19C04,Probation Re-Offender Rate,2014,2014,1650,Offence not stated,%,
CJA19C04,Probation Re-Offender Rate,2015,2015,1,Homicide offences,%,10.3
CJA19C04,Probation Re-Offender Rate,2015,2015,2,Sexual offences,%,33.8
CJA19C04,Probation Re-Offender Rate,2015,2015,3,"Attempts/threats to murder, assaults, harassments and related offences",%,36
CJA19C04,Probation Re-Offender Rate,2015,2015,4,Dangerous or negligent acts,%,25
CJA19C04,Probation Re-Offender Rate,2015,2015,5,Kidnapping and related offences,%,52.6
CJA19C04,Probation Re-Offender Rate,2015,2015,6,"Robbery, extortion and hijacking offences",%,56.9
CJA19C04,Probation Re-Offender Rate,2015,2015,7,Burglary and related offences,%,57.4
CJA19C04,Probation Re-Offender Rate,2015,2015,8,Theft and related offences,%,36.1
CJA19C04,Probation Re-Offender Rate,2015,2015,9,"Fraud, deception and related offences",%,41.9
CJA19C04,Probation Re-Offender Rate,2015,2015,10,Controlled drug offences,%,47.2
CJA19C04,Probation Re-Offender Rate,2015,2015,11,Weapons and Explosives Offences,%,50.3
CJA19C04,Probation Re-Offender Rate,2015,2015,12,Damage to property and to the environment,%,57.5
CJA19C04,Probation Re-Offender Rate,2015,2015,13,Public order and other social code offences,%,46
CJA19C04,Probation Re-Offender Rate,2015,2015,14,Road and traffic offences (n.e.c.),%,58.8
CJA19C04,Probation Re-Offender Rate,2015,2015,15,"Offences against government, justice procedures and organisation of crime",%,43.8
CJA19C04,Probation Re-Offender Rate,2015,2015,16,Offences not elsewhere classified,%,50.4
CJA19C04,Probation Re-Offender Rate,2015,2015,1650,Offence not stated,%,48.8
